Index,Chapter,Type,NameEN,NameKR,Mix,Chance
1,1,1,crane,두루미,0,2
2,1,1,cat,고양이,0,1
3,1,1,fox,여우,0,1
4,1,1,lion,사자,0,1
5,1,1,rabbit,토끼,0,1
6,1,1,rat,쥐,0,1
7,1,1,turtle,거북이,0,1
8,1,1,crow,까마귀,0,1
9,1,2,once upon a time,옛날 옛적,0,1
10,1,0,at night,밤,0,1
11,1,2,in winter,겨울,0,1
12,1,2,after that,그 후,0,1
13,1,3,field,들판,0,1
14,1,3,beach,바닷가,0,1
15,1,3,palace of sea kings,용궁,0,2
16,1,3,home,집안,0,1
17,1,3,city,도시,0,1
18,1,3,country,시골,0,1
19,1,3,top of tree,나무 위,0,1
20,1,3,vineyard,포도원,0,1
21,1,3,well,우물,0,1
22,1,3,lake,호수,0,1
23,1,3,forest,숲,0,1
24,1,0,rock,바위,0,1
25,1,3,fence,울타리,0,1
26,1,4,liver,간,0,1
27,1,4,shadow,그림자,0,1
28,1,4,tail,꼬리,0,1
29,1,4,stone,돌,0,1
30,1,4,grape,포도,0,2
31,1,4,food,음식,0,1
32,1,4,bell,방울,0,2
33,1,4,rope,밧줄,0,1
34,1,5,race,경주,0,1
35,1,5,be fooled,속다,0,1
36,1,5,flee,도망가다,0,1
37,1,5,see,보다,0,1
38,1,5,eat,먹다,0,1
39,1,5,invitation,초대하다,0,1
40,1,5,get out,나가다,0,1
41,1,5,talk,말하다,0,1
42,1,5,hang,달다,0,1
43,1,5,cut,끊다,0,1
44,1,5,drink,마시다,0,2
45,1,5,follow,따라가다,0,1
46,1,5,sleep,자다,0,1
47,1,6,leave,떠나다,0,1
48,1,6,come back,돌아오다,0,1
49,1,6,success,성공하다,0,2
50,1,6,fail,실패하다,0,1
51,1,6,suffer,당하다,0,1
52,1,6,be alive,살다,0,1
53,1,6,and,그리고,0,1
54,1,6,lose,지다,0,2
