Index,Chapter,TitleEN,TitleKR,Series,First,Second,Third,Fourth,Fifth,Sixth
1,1,The Hare and the Tortoise,토끼와 거북이,0,9,13,5,7,34,53
2,1,The Hare and the Tortoise,토끼와 거북이,0,12,13,5,29,46,54
3,1,The Hare's liver,토끼의 간,1,9,14,5,7,45,47
4,1,The Hare's liver,토끼의 간,1,12,15,5,26,35,51
5,1,The Hare's liver,토끼의 간,1,12,23,5,7,36,48
6,1,The Lion and the Hare,사자와 토끼,2,9,23,5,4,36,51
7,1,The Lion and the Hare,사자와 토끼,2,12,21,4,27,37,51
8,1,The Lion and the Hare,사자와 토끼,2,12,23,4,29,38,51
9,1,The Lion and the Hare,사자와 토끼,2,11,22,4,28,35,51
10,1,The Fox and the Crow,여우와 까마귀,3,9,19,8,3,35,51
11,1,The Fox in the Vineyard,여우와 포도,4,9,20,3,30,37,53
12,1,The Fox in the Vineyard,여우와 포도,4,12,25,3,30,40,50
13,1,The Fox and the Crane,여우와 두루미,5,9,16,3,1,39,51
14,1,The Fox and the Crane,여우와 두루미,5,12,16,1,3,39,51
15,1,The Town Mouse and the Country Mouse,시골쥐와 도시쥐,6,9,17,6,31,39,47
16,1,The Town Mouse and the Country Mouse,시골쥐와 도시쥐,6,12,17,6,31,36,51
17,1,The Town Mouse and the Country Mouse,시골쥐와 도시쥐,6,12,18,6,31,41,48
18,1,Belling the cat,고양이 목에 방울달기,7,9,16,6,2,41,53
19,1,Belling the cat,고양이 목에 방울달기,7,12,16,2,32,42,50
20,1,The Lion and the Mouse,사자와 쥐,8,9,13,4,6,37,52
21,1,The Lion and the Mouse,사자와 쥐,8,12,13,6,33,43,52
22,1,The Crow and the Well,영리한 까마귀,9,9,21,8,29,44,49
22,1,The Crow and the Well,영리한 까마귀,10,9,21,8,29,44,49
